port,port_lat,port_lon,port_state,mandi,mandi_lat,mandi_lon,mandi_state,fish_type,fish_size,mandi_price_inr_per_kg,distance_km,transport_cost_inr_per_kg,net_price_inr_per_kg
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Seer Fish,Medium,756.0,26.09,65.23,690.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Seer Fish,Large,700.8,26.09,65.23,635.57
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Prawn,Small,243.0,26.09,65.23,177.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Prawn,Medium,578.0,26.09,65.23,512.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Prawn,Large,499.2,26.09,65.23,433.97
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Mackerel,Small,96.3,26.09,65.23,31.07
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Mackerel,Medium,178.0,26.09,65.23,112.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Mackerel,Large,178.8,26.09,65.23,113.57
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Sardine,Small,65.7,26.09,65.23,0.47
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Sardine,Medium,68.0,26.09,65.23,2.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Sardine,Large,178.8,26.09,65.23,113.57
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Tuna,Small,244.8,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Tuna,Medium,349.0,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Tuna,Large,363.6,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Pomfret,Small,396.9,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Pomfret,Medium,716.0,219.64,549.11,166.89
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Pomfret,Large,735.6,219.64,549.11,186.49
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Seer Fish,Small,435.6,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Seer Fish,Medium,655.0,219.64,549.11,105.89
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Seer Fish,Large,636.0,219.64,549.11,86.89
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Prawn,Small,269.1,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Prawn,Medium,251.0,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Prawn,Large,363.6,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Mackerel,Small,175.5,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Mackerel,Medium,93.0,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Mackerel,Large,171.6,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Sardine,Small,109.8,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Sardine,Medium,77.0,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Ratnagiri Fish Market,16.994,73.312,Maharashtra,Sardine,Large,178.8,219.64,549.11,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Tuna,Small,236.7,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Tuna,Medium,233.0,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Tuna,Large,376.8,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Pomfret,Small,587.7,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Pomfret,Medium,620.0,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Pomfret,Large,676.8,250.86,627.14,49.66
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Seer Fish,Small,630.9,250.86,627.14,3.76
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Seer Fish,Medium,639.0,250.86,627.14,11.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Seer Fish,Large,894.0,250.86,627.14,266.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Prawn,Small,415.8,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Prawn,Medium,457.0,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Prawn,Large,583.2,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Mackerel,Small,153.9,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Mackerel,Medium,200.0,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Mackerel,Large,170.4,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Sardine,Small,74.7,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Sardine,Medium,85.0,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Surat Fish Market,21.1702,72.8311,Gujarat,Sardine,Large,177.6,250.86,627.14,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Tuna,Small,308.7,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Tuna,Medium,260.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Tuna,Large,451.2,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Pomfret,Small,327.6,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Pomfret,Medium,650.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Pomfret,Large,496.8,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Seer Fish,Small,714.6,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Seer Fish,Medium,776.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Seer Fish,Large,549.6,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Prawn,Small,533.7,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Prawn,Medium,378.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Prawn,Large,462.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Mackerel,Small,136.8,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Mackerel,Medium,170.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Mackerel,Large,146.4,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Sardine,Small,57.6,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Sardine,Medium,100.0,324.56,811.4,0.0
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,Bhavnagar Fish Market,21.764,72.1519,Gujarat,Sardine,Large,104.4,324.56,811.4,0.0
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Tuna,Small,318.6,11.28,28.19,290.41
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Tuna,Medium,291.0,11.28,28.19,262.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Tuna,Large,277.2,11.28,28.19,249.01
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Pomfret,Small,343.8,11.28,28.19,315.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Pomfret,Medium,397.0,11.28,28.19,368.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Pomfret,Large,493.2,11.28,28.19,465.01
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Seer Fish,Small,598.5,11.28,28.19,570.31
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Seer Fish,Medium,742.0,11.28,28.19,713.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Seer Fish,Large,657.6,11.28,28.19,629.41
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Prawn,Small,378.9,11.28,28.19,350.71
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Prawn,Medium,463.0,11.28,28.19,434.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Prawn,Large,340.8,11.28,28.19,312.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Mackerel,Small,171.0,11.28,28.19,142.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Mackerel,Medium,220.0,11.28,28.19,191.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Mackerel,Large,108.0,11.28,28.19,79.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Sardine,Small,57.6,11.28,28.19,29.41
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Sardine,Medium,149.0,11.28,28.19,120.81
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Sardine,Large,87.6,11.28,28.19,59.41
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Tuna,Small,289.8,12.74,31.85,257.95
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Tuna,Medium,246.0,12.74,31.85,214.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Tuna,Large,427.2,12.74,31.85,395.35
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Pomfret,Small,500.4,12.74,31.85,468.55
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Pomfret,Medium,364.0,12.74,31.85,332.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Pomfret,Large,834.0,12.74,31.85,802.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Seer Fish,Small,441.9,12.74,31.85,410.05
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Seer Fish,Medium,829.0,12.74,31.85,797.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Seer Fish,Large,753.6,12.74,31.85,721.75
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Prawn,Small,280.8,12.74,31.85,248.95
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Prawn,Medium,480.0,12.74,31.85,448.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Prawn,Large,588.0,12.74,31.85,556.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Mackerel,Small,126.9,12.74,31.85,95.05
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Mackerel,Medium,185.0,12.74,31.85,153.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Mackerel,Large,141.6,12.74,31.85,109.75
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Sardine,Small,85.5,12.74,31.85,53.65
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Sardine,Medium,72.0,12.74,31.85,40.15
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Sardine,Large,109.2,12.74,31.85,77.35
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Tuna,Small,261.0,16.56,41.39,219.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Tuna,Medium,305.0,16.56,41.39,263.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Tuna,Large,296.4,16.56,41.39,255.01
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Pomfret,Small,373.5,16.56,41.39,332.11
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Pomfret,Medium,519.0,16.56,41.39,477.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Pomfret,Large,472.8,16.56,41.39,431.41
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Seer Fish,Small,459.9,16.56,41.39,418.51
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Seer Fish,Medium,583.0,16.56,41.39,541.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Seer Fish,Large,879.6,16.56,41.39,838.21
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Prawn,Small,249.3,16.56,41.39,207.91
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Prawn,Medium,357.0,16.56,41.39,315.61
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Prawn,Large,351.6,16.56,41.39,310.21
Nhava Sheva (JNPT),18.9398,72.9425,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Mackerel,Small,155.7,16.56,41.39,114.31
